City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Kavaratti,IN,82.81,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
8,Hilo,US,80.33,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
9,Sechura,PE,82.99,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
11,Kilindoni,TZ,81.57,few clouds,-7.9139,39.6668,Bustani B&B
13,Kalmunai,LK,78.22,broken clouds,7.4167,81.8167,VS Villa
14,Sabha,LY,77.41,overcast clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
21,Porto Novo,BJ,82.2,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
24,Atuona,PF,78.53,few clouds,-9.8,-139.0333,Villa Enata
26,Kapaa,US,78.78,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
36,Vanimo,PG,78.8,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
37,Cabo San Lucas,MX,84.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
41,Mahebourg,MU,76.24,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
48,Omboue,GA,77.52,light rain,-1.5746,9.2618,Hotel Olako
52,Buraydah,SA,78.21,clear sky,26.326,43.975,Mövenpick Qassim
54,Hambantota,LK,79.81,broken clouds,6.1241,81.1185,Bungalow 63
56,Rikitea,PF,75.99,overcast clouds,-23.1203,-134.9692,People ThankYou
57,Bambous Virieux,MU,76.21,moderate rain,-20.3428,57.7575,Casa Tia Villa
59,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
60,Puerto Ayora,EC,84.16,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
66,Atar,MR,87.24,clear sky,20.5169,-13.0499,Oumou Elghoura
68,Tautira,PF,80.53,light rain,-17.7333,-149.15,Pension Oaoa
69,Fayaoue,NC,82.69,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
73,Samarai,PG,79.88,heavy intensity rain,-10.6167,150.6667,Nuli Sapi
77,Pilar,BR,84.13,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
80,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
82,Sibolga,ID,76.69,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
86,Hithadhoo,MV,83.16,few clouds,-0.6,73.0833,Scoop Guest House
90,San Cristobal,VE,84.38,overcast clouds,7.7669,-72.225,Pirineos
96,Lakatoro,VU,80.08,moderate rain,-16.0999,167.4164,Lakatoro Palm Lodge
98,Minab,IR,75.52,clear sky,27.1467,57.0801,Bam campground
100,Kampot,KH,79.74,overcast clouds,10.6167,104.1833,Two Moons Hotel
106,Itaueira,BR,88.03,overcast clouds,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
108,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
109,Linhares,BR,82.2,scattered clouds,-19.3911,-40.0722,Hotel Conceição
