City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Nanortalik,GL,60.1432,-45.2371,39.34,81,95,3.96,overcast clouds
1,Kavaratti,IN,10.5669,72.642,82.81,76,5,7.74,clear sky
2,Mataura,NZ,-46.1927,168.8643,39.36,99,35,1.97,scattered clouds
3,Port Alfred,ZA,-33.5906,26.891,61.18,96,100,1.01,overcast clouds
4,Raudeberg,NO,61.9875,5.1352,38.07,77,23,8.66,few clouds
5,Punta Arenas,CL,-53.15,-70.9167,48.22,76,75,13.8,light intensity shower rain
6,Yellowknife,CA,62.456,-114.3525,-2.58,66,100,11.01,overcast clouds
7,Manuk Mangkaw,PH,4.8,119.85,81.86,79,54,9.73,broken clouds
8,Hilo,US,19.7297,-155.09,80.33,70,20,8.05,few clouds
9,Sechura,PE,-5.5569,-80.8222,82.99,57,82,10.47,broken clouds
10,Ostrovnoy,RU,68.0531,39.5131,10.6,95,87,10.07,overcast clouds
11,Kilindoni,TZ,-7.9139,39.6668,81.57,75,12,7.49,few clouds
12,Fortuna,US,40.5982,-124.1573,56.93,75,0,17.27,clear sky
13,Kalmunai,LK,7.4167,81.8167,78.22,84,55,8.21,broken clouds
14,Sabha,LY,27.0377,14.4283,77.41,13,100,5.06,overcast clouds
15,Castro,BR,-24.7911,-50.0119,56.32,97,100,5.03,overcast clouds
16,Providencia,MX,28.7167,-111.5833,81.21,37,0,11.99,clear sky
17,Ushuaia,AR,-54.8,-68.3,46.02,70,75,26.46,light intensity drizzle
18,Pucara,PE,-15.9803,-71.4606,42.76,67,99,10.58,overcast clouds
19,Albany,US,42.6001,-73.9662,48.02,67,96,7.0,overcast clouds
20,Kodiak,US,57.79,-152.4072,38.71,87,100,11.5,light rain
21,Porto Novo,BJ,6.4965,2.6036,82.2,78,100,2.26,light rain
22,Saskylakh,RU,71.9167,114.0833,0.99,98,97,5.97,overcast clouds
23,Norman Wells,CA,65.282,-126.8329,-7.64,86,82,4.05,broken clouds
24,Atuona,PF,-9.8,-139.0333,78.53,76,12,7.67,few clouds
25,Yellapur,IN,14.9667,74.7167,72.05,89,18,2.33,few clouds
26,Kapaa,US,22.0752,-159.319,78.78,73,40,14.97,scattered clouds
27,Vila Do Maio,CV,15.1333,-23.2167,74.19,81,8,15.59,clear sky
28,Nokaneng,BW,-19.6667,22.2667,75.56,55,15,4.54,few clouds
29,Two Hills,CA,53.7169,-111.7518,32.36,69,99,6.71,overcast clouds
30,Otjimbingwe,NA,-22.35,16.1333,81.0,41,71,6.44,broken clouds
31,Hobart,AU,-42.8794,147.3294,54.27,91,75,6.91,broken clouds
32,Togur,RU,58.3631,82.8265,27.03,97,100,7.67,snow
33,Hirara,JP,24.8,125.2833,69.08,68,100,22.28,overcast clouds
34,Lavrentiya,RU,65.5833,-171.0,16.92,88,100,10.45,overcast clouds
35,Dikson,RU,73.5069,80.5464,-4.31,97,71,8.21,broken clouds
36,Vanimo,PG,-2.6741,141.3028,78.8,86,100,5.88,moderate rain
37,Cabo San Lucas,MX,22.8909,-109.9124,84.61,38,20,4.61,few clouds
38,Awjilah,LY,29.1081,21.2869,74.48,20,100,17.38,overcast clouds
39,Bethel,US,41.3712,-73.414,53.89,72,75,16.11,broken clouds
40,Comrat,MD,46.3003,28.6572,60.53,66,100,12.24,overcast clouds
41,Mahebourg,MU,-20.4081,57.7,76.24,92,100,20.31,moderate rain
42,Busselton,AU,-33.65,115.3333,69.57,82,100,6.96,overcast clouds
43,Beloha,MG,-25.1667,45.05,73.15,79,0,7.92,clear sky
44,Mar Del Plata,AR,-38.0023,-57.5575,68.02,58,0,15.01,clear sky
45,Zhigansk,RU,66.7697,123.3711,19.51,95,100,17.85,light snow
46,Chuy,UY,-33.6971,-53.4616,63.28,58,80,8.14,broken clouds
47,Kuryk,KZ,43.2,51.65,53.92,50,12,8.72,few clouds
48,Omboue,GA,-1.5746,9.2618,77.52,90,100,8.37,light rain
49,Rafraf,TN,37.1904,10.1837,55.71,70,89,26.49,overcast clouds
50,Port Elizabeth,ZA,-33.918,25.5701,65.1,83,55,8.99,broken clouds
51,Jamestown,US,42.097,-79.2353,33.71,63,100,18.41,overcast clouds
52,Buraydah,SA,26.326,43.975,78.21,12,0,10.76,clear sky
53,Barrow,US,71.2906,-156.7887,-9.38,77,0,18.41,clear sky
54,Hambantota,LK,6.1241,81.1185,79.81,80,60,6.49,broken clouds
55,Tiksi,RU,71.6872,128.8694,12.56,94,100,5.23,overcast clouds
56,Rikitea,PF,-23.1203,-134.9692,75.99,54,99,15.86,overcast clouds
57,Bambous Virieux,MU,-20.3428,57.7575,76.21,92,100,20.07,moderate rain
58,Nizhniy Tsasuchey,RU,50.5167,115.1333,31.42,74,100,7.4,overcast clouds
59,Vaini,TO,-21.2,-175.2,75.36,100,75,2.3,broken clouds
60,Puerto Ayora,EC,-0.7393,-90.3518,84.16,91,31,5.01,scattered clouds
61,Bluff,NZ,-46.6,168.3333,53.02,77,62,13.4,broken clouds
62,Grindavik,IS,63.8424,-22.4338,45.07,81,40,12.66,scattered clouds
63,Agucadoura,PT,41.4318,-8.7804,56.25,57,0,14.72,clear sky
64,Opuwo,NA,-18.0607,13.84,78.78,50,74,5.84,broken clouds
65,Bredasdorp,ZA,-34.5322,20.0403,64.36,71,93,12.86,light rain
66,Atar,MR,20.5169,-13.0499,87.24,9,0,9.71,clear sky
67,Poum,NC,-20.2333,164.0167,80.82,82,92,6.33,overcast clouds
68,Tautira,PF,-17.7333,-149.15,80.53,81,32,11.99,light rain
69,Fayaoue,NC,-20.65,166.5333,82.69,81,99,13.24,overcast clouds
70,San Quintin,MX,30.4833,-115.95,63.99,57,0,10.16,clear sky
71,Ponta Do Sol,PT,32.6667,-17.1,66.0,82,100,2.15,overcast clouds
72,Wenling,CN,28.3669,121.36,47.59,83,100,6.78,overcast clouds
73,Samarai,PG,-10.6167,150.6667,79.88,80,100,11.59,heavy intensity rain
74,Ahipara,NZ,-35.1667,173.1667,61.0,90,3,4.56,clear sky
75,La Baule-Escoublac,FR,47.2922,-2.364,40.66,80,75,12.66,broken clouds
76,Nikolskoye,RU,59.7035,30.7861,30.09,94,62,3.15,broken clouds
77,Pilar,BR,-9.5972,-35.9567,84.13,81,100,6.51,overcast clouds
78,Byron Bay,AU,-28.65,153.6167,61.72,79,6,7.05,clear sky
79,Qaqortoq,GL,60.7167,-46.0333,43.92,68,17,5.84,few clouds
80,Tiarei,PF,-17.5333,-149.3333,86.02,78,36,12.66,light rain
81,Ulaangom,MN,49.9811,92.0667,13.78,91,100,4.18,overcast clouds
82,Sibolga,ID,1.7427,98.7792,76.69,85,99,2.95,overcast clouds
83,Maracacume,BR,-2.0428,-45.9592,74.88,96,100,2.39,moderate rain
84,Abashiri,JP,44.0213,144.2697,30.94,87,10,6.6,clear sky
85,Tuktoyaktuk,CA,69.4541,-133.0374,-17.41,95,86,3.42,overcast clouds
86,Hithadhoo,MV,-0.6,73.0833,83.16,71,13,7.4,few clouds
87,Nioro,GM,13.35,-15.75,91.65,22,5,14.83,clear sky
88,Plouzane,FR,48.3833,-4.6167,43.12,70,20,11.5,moderate rain
89,Katangli,RU,51.7102,143.2326,6.01,90,21,8.93,few clouds
90,San Cristobal,VE,7.7669,-72.225,84.38,37,95,7.49,overcast clouds
91,Guayaramerin,BO,-10.8368,-65.3614,69.85,78,100,10.36,overcast clouds
92,Halifax,CA,44.6453,-63.5724,53.49,99,100,25.32,mist
93,Kruisfontein,ZA,-34.0033,24.7314,62.89,83,4,4.07,clear sky
94,Northam,GB,51.0333,-4.2167,44.38,68,29,13.69,scattered clouds
95,Tukrah,LY,32.5341,20.5791,61.7,60,0,3.78,clear sky
96,Lakatoro,VU,-16.0999,167.4164,80.08,84,100,5.7,moderate rain
