City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Butaritari,KI,2022-03-31 15:55:52,3.0707,172.7902,80.26,80,72,12.82
1,Hofn,IS,2022-03-31 15:55:52,64.2539,-15.2082,39.22,60,75,3.44
2,Paamiut,GL,2022-03-31 15:55:52,61.994,-49.6678,33.78,91,100,7.25
3,Villachuato,MX,2022-03-31 15:55:53,20.1667,-101.5833,76.23,13,4,0.72
4,Varberg,SE,2022-03-31 15:55:53,57.1056,12.2508,40.23,53,77,12.44
5,Lompoc,US,2022-03-31 15:51:46,34.6391,-120.4579,55.78,85,100,12.66
6,Khatanga,RU,2022-03-31 15:55:53,71.9667,102.5,3.38,95,36,6.69
7,Hithadhoo,MV,2022-03-31 15:55:54,-0.6,73.0833,83.46,69,7,4.81
8,Noshiro,JP,2022-03-31 15:55:54,40.2039,140.0242,38.39,48,100,13.35
9,Ushuaia,AR,2022-03-31 15:55:54,-54.8,-68.3,49.66,57,20,13.8
10,Merauke,ID,2022-03-31 15:55:55,-8.4667,140.3333,79.5,77,100,7.43
11,Bluff,NZ,2022-03-31 15:55:55,-46.6,168.3333,49.75,62,100,11.43
12,Xai-Xai,MZ,2022-03-31 15:55:55,-25.0519,33.6442,77.25,80,4,11.95
13,Mecca,SA,2022-03-31 15:54:57,21.4267,39.8261,83.79,31,0,8.03
14,Henties Bay,NA,2022-03-31 15:55:56,-22.116,14.2845,64.96,77,1,13.0
15,Airai,TL,2022-03-31 15:55:56,-8.9266,125.4092,57.54,88,9,1.86
16,Zhanaozen,KZ,2022-03-31 15:55:56,43.3,52.8,56.98,36,99,8.12
17,Codrington,AU,2022-03-31 15:55:57,-38.2667,141.9667,56.8,67,85,14.54
18,Beloha,MG,2022-03-31 15:55:57,-25.1667,45.05,74.1,75,0,15.52
19,Pisco,PE,2022-03-31 15:55:04,-13.7,-76.2167,70.02,68,0,11.5
20,Nikolskoye,RU,2022-03-31 15:55:57,59.7035,30.7861,31.91,84,70,2.89
21,Tiksi,RU,2022-03-31 15:55:58,71.6872,128.8694,0.12,99,100,6.04
22,Rikitea,PF,2022-03-31 15:54:29,-23.1203,-134.9692,77.45,73,58,15.75
23,Mataura,NZ,2022-03-31 15:55:58,-46.1927,168.8643,46.04,90,100,0.54
24,Luderitz,NA,2022-03-31 15:55:58,-26.6481,15.1594,69.33,61,0,26.22
25,Cayenne,GF,2022-03-31 15:55:59,4.9333,-52.3333,84.24,15,75,11.5
26,Aklavik,CA,2022-03-31 15:55:59,68.2191,-135.0107,-25.6,75,20,6.91
27,Port Alfred,ZA,2022-03-31 15:55:59,-33.5906,26.891,64.18,92,100,3.0
28,Bethel,US,2022-03-31 15:54:39,41.3712,-73.414,57.79,94,100,3.44
29,Vila Franca Do Campo,PT,2022-03-31 15:56:00,37.7167,-25.4333,64.81,78,99,6.17
30,Saint Anthony,US,2022-03-31 15:56:00,45.0205,-93.218,32.31,69,100,19.57
31,Tuatapere,NZ,2022-03-31 15:56:00,-46.1333,167.6833,47.84,87,100,4.79
32,Jardim,BR,2022-03-31 15:56:00,-21.4803,-56.1381,61.65,85,100,9.4
33,Punta Arenas,CL,2022-03-31 15:56:01,-53.15,-70.9167,51.91,46,75,19.57
34,Tuktoyaktuk,CA,2022-03-31 15:56:01,69.4541,-133.0374,-23.8,69,40,9.22
35,San Patricio,US,2022-03-31 15:56:01,28.017,-97.5169,72.16,37,10,7.18
36,Olga,RU,2022-03-31 15:56:02,43.7444,135.2892,30.16,64,11,5.84
37,Ilulissat,GL,2022-03-31 15:56:02,69.2167,-51.1,17.85,92,67,3.56
38,Hambantota,LK,2022-03-31 15:56:02,6.1241,81.1185,77.34,94,40,2.3
39,Kirkwood,US,2022-03-31 15:56:03,38.5834,-90.4068,41.59,78,95,8.01
40,Yulara,AU,2022-03-31 15:56:03,-25.2406,130.9889,71.44,28,65,8.05
41,Victoria,HK,2022-03-31 15:54:19,22.2855,114.1577,73.96,82,23,15.99
42,Puerto Ayora,EC,2022-03-31 15:56:04,-0.7393,-90.3518,82.36,75,94,6.98
43,Muroto,JP,2022-03-31 15:56:04,33.2833,134.15,52.65,85,100,19.42
44,Derzhavinsk,KZ,2022-03-31 15:56:04,51.1,66.3167,27.19,95,100,8.43
45,Vaini,TO,2022-03-31 15:57:04,-21.2,-175.2,80.28,79,100,11.61
46,Busselton,AU,2022-03-31 15:57:05,-33.65,115.3333,72.72,66,0,12.53
47,Manitouwadge,CA,2022-03-31 15:57:05,49.1215,-85.8403,27.57,89,100,15.5
48,Lorengau,PG,2022-03-31 15:57:06,-2.0226,147.2712,79.34,87,100,17.34
49,Atuona,PF,2022-03-31 15:57:06,-9.8,-139.0333,78.33,73,32,10.49
50,Iqaluit,CA,2022-03-31 15:57:07,63.7506,-68.5145,26.33,92,100,5.75
51,Hermanus,ZA,2022-03-31 15:57:07,-34.4187,19.2345,66.79,69,63,9.71
52,Mozarlandia,BR,2022-03-31 15:57:07,-14.7447,-50.5706,89.58,55,63,2.71
53,Deoria,IN,2022-03-31 15:57:08,26.5047,83.7872,84.79,34,0,9.28
54,Deputatskiy,RU,2022-03-31 15:57:08,69.3,139.9,-20.11,99,28,4.79
55,Cherskiy,RU,2022-03-31 15:57:09,68.75,161.3,-12.73,100,99,4.65
56,East London,ZA,2022-03-31 15:57:09,-33.0153,27.9116,67.14,94,75,10.36
57,Liverpool,GB,2022-03-31 15:54:22,53.4106,-2.9779,46.15,64,75,21.85
58,Qaanaaq,GL,2022-03-31 15:57:09,77.484,-69.3632,21.06,70,28,6.89
59,Tasiilaq,GL,2022-03-31 15:57:10,65.6145,-37.6368,35.11,99,100,4.92
60,Jamestown,US,2022-03-31 15:57:10,42.097,-79.2353,63.52,72,100,15.99
61,Marzuq,YE,2022-03-31 15:57:10,14.4,46.4667,73.81,27,0,3.96
62,Buraydah,SA,2022-03-31 15:57:11,26.326,43.975,91.85,11,0,9.73
63,Nhulunbuy,AU,2022-03-31 15:55:15,-12.2333,136.7667,77.61,88,5,0.0
64,Narsaq,GL,2022-03-31 15:57:11,60.9167,-46.05,39.18,68,96,3.51
65,Sinnamary,GF,2022-03-31 15:57:12,5.3833,-52.95,81.72,69,57,10.67
66,Gornopravdinsk,RU,2022-03-31 15:57:12,60.05,69.9,21.65,92,100,5.97
67,Constitucion,CL,2022-03-31 15:57:12,-35.3333,-72.4167,64.94,42,0,11.3
68,Hobart,AU,2022-03-31 15:57:13,-42.8794,147.3294,55.26,72,100,10.36
69,Yellowknife,CA,2022-03-31 15:57:13,62.456,-114.3525,13.41,77,100,3.44
